pid,type
1527,Townhome
1528,House
1529,Townhome
1530,Townhome
1531,Condo
1532,Townhome
1533,Townhome
1534,Townhome
1535,Townhome
1536,Townhome
1537,Townhome
1538,House
1539,Townhome
1540,House
1541,Townhome
1542,Townhome
1543,Townhome
1544,Townhome
1545,House
1546,Townhome
1547,House
1548,House
1549,House
1550,House
1551,House
1552,House
1553,House
1554,House
1555,Unknown
1556,Unknown
1557,Townhome
1558,Townhome
1559,House
1560,Townhome
1561,Townhome
1562,House
1563,Apartment
1564,Apartment
1565,Apartment
1566,Apartment
1567,Apartment
1568,Apartment
1569,Apartment
1570,Apartment
1571,Apartment
1572,Apartment
1573,Apartment
1574,Apartment
1575,Apartment
1576,Apartment
1577,Apartment
1578,Apartment
1579,House
1580,Condo
1581,Condo
1582,House
1583,House
1584,Condo
1585,House
1586,House
1587,Apartment
1588,Apartment
1589,Apartment
1590,Apartment
1591,Apartment
1592,Apartment
1593,Apartment
1594,Apartment
1595,Apartment
1596,Apartment
1597,Apartment
1598,Apartment
1599,Apartment
1600,Apartment
1601,Apartment
1602,Apartment
1603,Apartment
1604,Apartment
1605,Apartment
1606,Apartment
1607,Apartment
1608,Apartment
1609,Apartment
1610,Apartment
1611,Apartment
1612,Apartment
1613,Apartment
1614,Apartment
1615,Apartment
1616,Apartment
1617,Apartment
1618,Apartment
1619,Apartment
1620,Apartment
1621,Apartment
1622,Condo
1623,Unknown
1624,House
1625,House
1626,Unknown
1627,Unknown
1628,Condo
1629,Condo
1630,Condo
1631,Apartment
1632,Apartment
1633,Apartment
1634,Condo
1635,House
1636,Condo
1637,House
1638,Townhome
1639,House
1640,House
1641,House
1642,House
1643,House
1644,House
1645,House
1646,Condo
1647,House
1648,House
1649,Townhome
1650,Townhome
1651,Condo
1652,House
1653,Condo
1654,House
1655,House
1656,Townhome
1657,Condo
1658,Condo
1659,Condo
1660,House
1661,Condo
1662,Townhome
1663,Condo
1664,Condo
1665,House
1666,House
1667,House
1668,Unknown
1669,Condo
1670,Condo
1671,Condo
1672,House
1673,House
1674,Condo
1675,Townhome
1676,House
1677,House
1678,House
1679,Condo
1680,Condo
1681,Condo
1682,House
1683,Townhome
1684,House
1685,Unknown
1686,Condo
1687,House
1688,House
1689,Townhome
1690,House
1691,House
1692,House
1693,House
1694,House
1695,House
1696,Townhome
1697,House
1698,House
